classID,className,superClassID,superClassName
321,Hitting a pinata,3,Relaxing&Leisure
241,Hopscotch,3,Relaxing&Leisure
175,Horseback riding,1,Participating_in_sports&Exercise&Recreation
322,Hula hoop,3,Relaxing&Leisure
323,Hurling,1,Participating_in_sports&Exercise&Recreation
324,Ice fishing,1,Participating_in_sports&Exercise&Recreation
83,Ironing clothes,6,Housework
116,Javelin throw,1,Participating_in_sports&Exercise&Recreation
254,Kayaking,1,Participating_in_sports&Exercise&Recreation
327,Kite flying,3,Relaxing&Leisure
328,Kneeling,1,Participating_in_sports&Exercise&Recreation
329,Knitting,6,Housework
330,Laying tile,7,Interior_maintenance&Repair&Decoration
80,Long jump,1,Participating_in_sports&Exercise&Recreation
331,Longboarding,1,Participating_in_sports&Exercise&Recreation
332,Making a cake,5,Food&Drink_prep.&Presentation&Clean-up
333,Making a lemonade,5,Food&Drink_prep.&Presentation&Clean-up
129,Making a sandwich,5,Food&Drink_prep.&Presentation&Clean-up
334,Making an omelette,5,Food&Drink_prep.&Presentation&Clean-up
244,Mixing drinks,5,Food&Drink_prep.&Presentation&Clean-up
335,Mooping floor,6,Housework
218,Mowing the lawn,9,Lawn&Garden&Houseplants
141,Paintball,1,Participating_in_sports&Exercise&Recreation
217,Painting,7,Interior_maintenance&Repair&Decoration
336,Painting fence,12,Exterior_maintenance&Repair&Decoration
337,Painting furniture,7,Interior_maintenance&Repair&Decoration
119,Ping-pong,1,Participating_in_sports&Exercise&Recreation
340,Plastering,7,Interior_maintenance&Repair&Decoration
233,Plataform diving,1,Participating_in_sports&Exercise&Recreation
267,Playing accordion,2,Arts&Entertainment
268,Playing badminton,1,Participating_in_sports&Exercise&Recreation
136,Playing bagpipes,2,Arts&Entertainment
341,Playing beach volleyball,1,Participating_in_sports&Exercise&Recreation
343,Playing blackjack,2,Arts&Entertainment
345,Playing congas,2,Arts&Entertainment
346,Playing drums,2,Arts&Entertainment
94,Playing field hockey,1,Participating_in_sports&Exercise&Recreation
149,Playing flauta,2,Arts&Entertainment
251,Playing guitarra,2,Arts&Entertainment
100,Playing harmonica,2,Arts&Entertainment
347,Playing ice hockey,1,Participating_in_sports&Exercise&Recreation
257,Playing kickball,1,Participating_in_sports&Exercise&Recreation
209,Playing lacrosse,1,Participating_in_sports&Exercise&Recreation
197,Playing piano,2,Arts&Entertainment
75,Playing polo,1,Participating_in_sports&Exercise&Recreation
348,Playing pool,3,Relaxing&Leisure
253,Playing racquetball,1,Participating_in_sports&Exercise&Recreation
349,Playing rubik cube,3,Relaxing&Leisure
109,Playing saxophone,2,Arts&Entertainment
194,Playing squash,1,Participating_in_sports&Exercise&Recreation
234,Playing violin,2,Arts&Entertainment
130,Playing water polo,1,Participating_in_sports&Exercise&Recreation
106,Pole vault,1,Participating_in_sports&Exercise&Recreation
156,Polishing forniture,6,Housework
227,Polishing shoes,6,Housework
350,Powerbocking,1,Participating_in_sports&Exercise&Recreation
186,Preparing pasta,5,Food&Drink_prep.&Presentation&Clean-up
96,Preparing salad,5,Food&Drink_prep.&Presentation&Clean-up
351,Putting in contact lenses,4,Grooming
76,Putting on makeup,4,Grooming
352,Putting on shoes,4,Grooming
353,Rafting,1,Participating_in_sports&Exercise&Recreation
354,Raking leaves,9,Lawn&Garden&Houseplants
356,Riding bumper cars,3,Relaxing&Leisure
188,Rock climbing,1,Participating_in_sports&Exercise&Recreation
358,Rock-paper-scissors,3,Relaxing&Leisure
359,Rollerblading,1,Participating_in_sports&Exercise&Recreation
361,Rope skipping,1,Participating_in_sports&Exercise&Recreation
362,Running a marathon,1,Participating_in_sports&Exercise&Recreation
240,Sailing,1,Participating_in_sports&Exercise&Recreation
364,Scuba diving,1,Participating_in_sports&Exercise&Recreation
365,Sharpening knives,10,Appliances&Tools&Toys
190,Shaving,4,Grooming
169,Shot put,1,Participating_in_sports&Exercise&Recreation
183,Shoveling snow,12,Exterior_maintenance&Repair&Decoration
368,Shuffleboard,3,Relaxing&Leisure
176,Skateboarding,1,Participating_in_sports&Exercise&Recreation
369,Skiing,1,Participating_in_sports&Exercise&Recreation
371,Slacklining,3,Relaxing&Leisure
201,Smoking a cigarette,3,Relaxing&Leisure
189,Smoking hookah,3,Relaxing&Leisure
79,Snatch,1,Participating_in_sports&Exercise&Recreation
372,Snow tubing,1,Participating_in_sports&Exercise&Recreation
373,Snowboarding,1,Participating_in_sports&Exercise&Recreation
117,Spinning,1,Participating_in_sports&Exercise&Recreation
374,Spread mulch,9,Lawn&Garden&Houseplants
193,Springboard diving,1,Participating_in_sports&Exercise&Recreation
153,Starting a campfire,1,Participating_in_sports&Exercise&Recreation
375,Sumo,1,Participating_in_sports&Exercise&Recreation
376,Surfing,1,Participating_in_sports&Exercise&Recreation
377,Swimming,1,Participating_in_sports&Exercise&Recreation
378,Swinging at the playground,2,Arts&Entertainment
379,Table soccer,3,Relaxing&Leisure
263,Tai chi,1,Participating_in_sports&Exercise&Recreation
73,Tango,2,Arts&Entertainment
380,Throwing darts,3,Relaxing&Leisure
381,Trimming branches or hedges,9,Lawn&Garden&Houseplants
155,Triple jump,1,Participating_in_sports&Exercise&Recreation
382,Tug of war,3,Relaxing&Leisure
258,Tumbling,1,Participating_in_sports&Exercise&Recreation
88,Using parallel bars,1,Participating_in_sports&Exercise&Recreation
180,Using the balance beam,1,Participating_in_sports&Exercise&Recreation
383,Using the monkey bar,2,Arts&Entertainment
114,Using the pommel horse,1,Participating_in_sports&Exercise&Recreation
384,Using the rowing machine,1,Participating_in_sports&Exercise&Recreation
192,Using uneven bars,1,Participating_in_sports&Exercise&Recreation
160,Vacuuming floor,6,Housework
123,Volleyball,1,Participating_in_sports&Exercise&Recreation
385,Wakeboarding,1,Participating_in_sports&Exercise&Recreation
221,Walking the dog,8,Animals&Pets
213,Washing dishes,5,Food&Drink_prep.&Presentation&Clean-up
173,Washing hands,4,Grooming
386,Waterskiing,1,Participating_in_sports&Exercise&Recreation
387,Waxing skis,10,Appliances&Tools&Toys
388,Welding,10,Appliances&Tools&Toys
237,Windsurfing,1,Participating_in_sports&Exercise&Recreation
179,Wrapping presents,13,Household_management
69,Zumba,1,Participating_in_sports&Exercise&Recreation
